condition,preset,call_id,trial,seed,length_bin,response_note_count,response_duration_sec,t_endpoint_commit_ms,t_infer_start_ms,t_first_token_ready_ms,t_first_midi_queued_ms,t_first_midi_out_ms,t_response_end_ms,endpoint_to_first_midi_ms,first_token_latency_ms,queue_delay_ms,total_generation_ms,buffer_underrun_count,buffer_underrun_rate,preload_window_ms,micro_buffer_ms,source_latency_event
L0_preload_off,pentatonic_no_theory,A03,5,33265713,medium,11,4.800000,0.000000,0.000000,63.269400,63.269400,143.269400,4943.269400,143.269400,63.269400,80.000000,659.901000,0,0.000000,0.000000,80.000000,35
L1_preload_on,pentatonic_no_theory,A03,5,33265713,medium,11,4.800000,0.000000,-150.000000,-86.730600,0.000000,80.000000,4880.000000,80.000000,63.269400,80.000000,659.901000,0,0.000000,150.000000,80.000000,35
L0_preload_off,pentatonic_no_theory,A03,6,33266722,medium,13,4.800000,0.000000,0.000000,96.538100,96.538100,176.538100,4976.538100,176.538100,96.538100,80.000000,793.313000,1,1.000000,0.000000,80.000000,36
L1_preload_on,pentatonic_no_theory,A03,6,33266722,medium,13,4.800000,0.000000,-150.000000,-53.461900,0.000000,80.000000,4880.000000,80.000000,96.538100,80.000000,793.313000,0,0.000000,150.000000,80.000000,36
L0_preload_off,pentatonic_no_theory,A03,7,33267731,medium,9,4.800000,0.000000,0.000000,50.171200,50.171200,130.171200,4930.171200,130.171200,50.171200,80.000000,551.148000,0,0.000000,0.000000,80.000000,37
L1_preload_on,pentatonic_no_theory,A03,7,33267731,medium,9,4.800000,0.000000,-150.000000,-99.828800,0.000000,80.000000,4880.000000,80.000000,50.171200,80.000000,551.148000,0,0.000000,150.000000,80.000000,37
L0_preload_off,pentatonic_no_theory,A03,8,33268740,medium,11,4.800000,0.000000,0.000000,257.015500,257.015500,337.015500,5137.015500,337.015500,257.015500,80.000000,1048.933000,1,1.000000,0.000000,80.000000,38
L1_preload_on,pentatonic_no_theory,A03,8,33268740,medium,11,4.800000,0.000000,-150.000000,107.015500,107.015500,187.015500,4987.015500,187.015500,257.015500,80.000000,1048.933000,1,1.000000,150.000000,80.000000,38
L0_preload_off,pentatonic_no_theory,A03,9,33269749,medium,13,4.800000,0.000000,0.000000,58.982900,58.982900,138.982900,4938.982900,138.982900,58.982900,80.000000,1279.106000,0,0.000000,0.000000,80.000000,39
L1_preload_on,pentatonic_no_theory,A03,9,33269749,medium,13,4.800000,0.000000,-150.000000,-91.017100,0.000000,80.000000,4880.000000,80.000000,58.982900,80.000000,1279.106000,0,0.000000,150.000000,80.000000,39
L0_preload_off,pentatonic_no_theory,A03,10,33270758,medium,9,4.800000,0.000000,0.000000,53.822400,53.822400,133.822400,4933.822400,133.822400,53.822400,80.000000,679.674000,0,0.000000,0.000000,80.000000,40
L1_preload_on,pentatonic_no_theory,A03,10,33270758,medium,9,4.800000,0.000000,-150.000000,-96.177600,0.000000,80.000000,4880.000000,80.000000,53.822400,80.000000,679.674000,0,0.000000,150.000000,80.000000,40
L0_preload_off,pentatonic_no_theory,A03,11,33271767,medium,12,4.800000,0.000000,0.000000,52.090100,52.090100,132.090100,4932.090100,132.090100,52.090100,80.000000,747.674000,0,0.000000,0.000000,80.000000,41
L1_preload_on,pentatonic_no_theory,A03,11,33271767,medium,12,4.800000,0.000000,-150.000000,-97.909900,0.000000,80.000000,4880.000000,80.000000,52.090100,80.000000,747.674000,0,0.000000,150.000000,80.000000,41
L0_preload_off,pentatonic_no_theory,A03,12,33272776,medium,14,4.800000,0.000000,0.000000,47.574500,47.574500,127.574500,4927.574500,127.574500,47.574500,80.000000,1254.547000,0,0.000000,0.000000,80.000000,42
L1_preload_on,pentatonic_no_theory,A03,12,33272776,medium,14,4.800000,0.000000,-150.000000,-102.425500,0.000000,80.000000,4880.000000,80.000000,47.574500,80.000000,1254.547000,0,0.000000,150.000000,80.000000,42
L0_preload_off,pentatonic_no_theory,A03,13,33273785,medium,13,4.800000,0.000000,0.000000,155.176800,155.176800,235.176800,5035.176800,235.176800,155.176800,80.000000,1337.230000,1,1.000000,0.000000,80.000000,43
L1_preload_on,pentatonic_no_theory,A03,13,33273785,medium,13,4.800000,0.000000,-150.000000,5.176800,5.176800,85.176800,4885.176800,85.176800,155.176800,80.000000,1337.230000,0,0.000000,150.000000,80.000000,43
L0_preload_off,pentatonic_no_theory,A03,14,33274794,medium,14,4.800000,0.000000,0.000000,105.898800,105.898800,185.898800,4985.898800,185.898800,105.898800,80.000000,972.255000,1,1.000000,0.000000,80.000000,44
L1_preload_on,pentatonic_no_theory,A03,14,33274794,medium,14,4.800000,0.000000,-150.000000,-44.101200,0.000000,80.000000,4880.000000,80.000000,105.898800,80.000000,972.255000,0,0.000000,150.000000,80.000000,44
L0_preload_off,pentatonic_no_theory,A03,15,33275803,medium,13,4.800000,0.000000,0.000000,56.307800,56.307800,136.307800,4936.307800,136.307800,56.307800,80.000000,704.607000,0,0.000000,0.000000,80.000000,45
L1_preload_on,pentatonic_no_theory,A03,15,33275803,medium,13,4.800000,0.000000,-150.000000,-93.692200,0.000000,80.000000,4880.000000,80.000000,56.307800,80.000000,704.607000,0,0.000000,150.000000,80.000000,45
L0_preload_off,pentatonic_no_theory,A04,1,34261680,medium,9,4.800000,0.000000,0.000000,46.911400,46.911400,126.911400,4926.911400,126.911400,46.911400,80.000000,634.907000,0,0.000000,0.000000,80.000000,46
L1_preload_on,pentatonic_no_theory,A04,1,34261680,medium,9,4.800000,0.000000,-150.000000,-103.088600,0.000000,80.000000,4880.000000,80.000000,46.911400,80.000000,634.907000,0,0.000000,150.000000,80.000000,46
L0_preload_off,pentatonic_no_theory,A04,2,34262689,short,7,4.800000,0.000000,0.000000,48.280100,48.280100,128.280100,4928.280100,128.280100,48.280100,80.000000,774.589000,0,0.000000,0.000000,80.000000,47
L1_preload_on,pentatonic_no_theory,A04,2,34262689,short,7,4.800000,0.000000,-150.000000,-101.719900,0.000000,80.000000,4880.000000,80.000000,48.280100,80.000000,774.589000,0,0.000000,150.000000,80.000000,47
